Code,DisplayName,CodeSystem
732933009,Autosomal recessive spastic paraplegia type 25,SNOMED
726607007,Autosomal recessive spastic paraplegia type 26,SNOMED
778030005,Autosomal recessive spastic paraplegia type 27,SNOMED
763376002,Autosomal recessive spastic paraplegia type 28,SNOMED
726606003,Autosomal recessive spastic paraplegia type 32,SNOMED
764688002,Autosomal recessive spastic paraplegia type 35,SNOMED
719103009,Autosomal recessive spastic paraplegia type 39,SNOMED
764736001,Autosomal recessive spastic paraplegia type 43,SNOMED
723821002,Autosomal recessive spastic paraplegia type 44,SNOMED
765753004,Autosomal recessive spastic paraplegia type 45,SNOMED
723822009,Autosomal recessive spastic paraplegia type 46,SNOMED
763367009,Autosomal recessive spastic paraplegia type 48,SNOMED
723823004,Autosomal recessive spastic paraplegia type 53,SNOMED
723824005,Autosomal recessive spastic paraplegia type 54,SNOMED
723825006,Autosomal recessive spastic paraplegia type 55,SNOMED
783764008,Autosomal recessive spastic paraplegia type 56,SNOMED
723826007,Autosomal recessive spastic paraplegia type 57,SNOMED
770720005,Autosomal recessive spastic paraplegia type 58,SNOMED
773425000,Autosomal recessive spastic paraplegia type 59,SNOMED
763373005,Autosomal recessive spastic paraplegia type 5A,SNOMED
782746009,Autosomal recessive spastic paraplegia type 60,SNOMED
726611001,Autosomal recessive spastic paraplegia type 61,SNOMED
765045003,Autosomal recessive spastic paraplegia type 62,SNOMED
726610000,Autosomal recessive spastic paraplegia type 63,SNOMED
726609005,Autosomal recessive spastic paraplegia type 64,SNOMED
782747000,Autosomal recessive spastic paraplegia type 66,SNOMED
766767001,Autosomal recessive spastic paraplegia type 67,SNOMED
782725000,Autosomal recessive spastic paraplegia type 69,SNOMED
770724001,Autosomal recessive spastic paraplegia type 70,SNOMED
782726004,Autosomal recessive spastic paraplegia type 71,SNOMED
1187191003,Autosomal recessive spastic paraplegia type 74,SNOMED
1187470001,Autosomal recessive spastic paraplegia type 75,SNOMED
1172631001,Autosomal recessive spastic paraplegia type 76,SNOMED
1187506008,Autosomal recessive spastic paraplegia type 77,SNOMED
1177168007,Autosomal recessive spastic paraplegia type 78,SNOMED
1187467000,Autosomal recessive spastic paraplegia type 9B,SNOMED
763377006,Autosomal spastic paraplegia type 30,SNOMED
782727008,Autosomal spastic paraplegia type 72,SNOMED
773333003,Autosomal systemic lupus erythematosus,SNOMED
197303009,Bacterial portal cirrhosis,SNOMED
198033005,Balanitis xerotica obliterans,SNOMED
26121002,Balkan nephropathy,SNOMED
91586009,Bancroftian elephantiasis,SNOMED
387732009,Becker muscular dystrophy,SNOMED
240078009,Benign congenital muscular dystrophy with finger flexion contractures,SNOMED
230256009,Benign monomelic amyotrophy,SNOMED
1263539004,Benign monomelic amyotrophy of lower limb,SNOMED
1263540002,Benign monomelic amyotrophy of upper limb,SNOMED
438511000,Benign multiple sclerosis,SNOMED
240076008,Benign scapuloperoneal muscular dystrophy,SNOMED
763387005,Best vitelliform macular dystrophy,SNOMED
718572004,Bethlem myopathy,SNOMED
1083121000119106,Bilateral adhesive otitis media of middle ears,SNOMED
1083361000119103,Bilateral auditory canal chronic non-infective otitis externa,SNOMED
1083261000119107,Bilateral chronic allergic otitis media of middle ears,SNOMED
346801000119106,Bilateral chronic anterior uveitis of eyes,SNOMED
1083271000119101,Bilateral chronic atticoantral suppurative otitis media,SNOMED
346851000119105,Bilateral chronic conjunctivitis of eyes,SNOMED
346841000119108,Bilateral chronic dacryoadenitis of eyes,SNOMED
346831000119104,Bilateral chronic dacryocystitis of lacrimal sacs,SNOMED
15708561000119103,Bilateral chronic deep vein thrombosis of upper limbs following procedure,SNOMED
58341661000119101,Bilateral chronic deep venous thrombosis of peroneal veins,SNOMED
15678401000119100,Bilateral chronic endophthalmitis,SNOMED
346821000119102,Bilateral chronic follicular conjunctivitis,SNOMED
346811000119109,Bilateral chronic giant papillary conjunctivitis of eyes,SNOMED
346791000119105,Bilateral chronic iritis,SNOMED
346781000119107,Bilateral chronic lacrimal canaliculitis of eyes,SNOMED
346771000119109,Bilateral chronic lacrimal gland enlargement,SNOMED
346761000119103,Bilateral chronic lacrimal mucocele,SNOMED
1083321000119108,Bilateral chronic mastoiditis,SNOMED
872870431000119102,Bilateral chronic nontraumatic slipped upper femoral epiphyses,SNOMED
1083341000119102,Bilateral chronic otitis externa of external auditory canals caused by fungus,SNOMED
1083401000119107,Bilateral chronic otitis media of ears following insertion of tympanic ventilation tube,SNOMED
1083291000119100,Bilateral chronic perichondritis of external ears,SNOMED
16016431000119108,Bilateral chronic rupture of anterior cruciate ligament of knees,SNOMED
1083421000119103,Bilateral chronic serosanguineous otitis media of middle ears,SNOMED
194248004,Bilateral chronic serous otitis,SNOMED
1083431000119100,Bilateral chronic suppurative otitis media of middle ears,SNOMED
16040031000119108,Bilateral chronic tophaceous gout of elbows,SNOMED
16040071000119106,Bilateral chronic tophaceous gout of hands,SNOMED
1083351000119100,Bilateral chronic tympanitis,SNOMED
346341000119103,Bilateral degenerative progressive high myopia of eyes,SNOMED
346131000119105,Bilateral essential iris atrophy,SNOMED
1083381000119107,Bilateral external auditory canal chronic otitis externa,SNOMED
680291000119102,Bilateral Fuchs' heterochromic cyclitis,SNOMED
16907601000119106,Bilateral hemifacial spasm,SNOMED
1083331000119106,Bilateral middle ear chronic mucoid otitis media,SNOMED
748639361000119108,Bilateral nontraumatic acute-on-chronic slipped upper femoral epiphyses,SNOMED
344801000119103,Bilateral orbital granuloma,SNOMED
344261000119101,Bilateral progressive external ophthalmoplegia,SNOMED
344551000119101,Bilateral progressive peripheral pterygium of eyes,SNOMED
15628731000119103,Bilateral Sorsby pseudoinflammatory fundus dystrophy,SNOMED
172218281000119101,Bilateral stable nontraumatic chronic slipped upper femoral epiphyses,SNOMED
16052471000119103,Bilateral tendinosis of biceps brachii,SNOMED
16052351000119101,Bilateral tendinosis of knees,SNOMED
16052671000119100,Bilateral tendinosis of shoulder,SNOMED
772948901000119104,Bilateral tendinosis of wrists,SNOMED
