Code,DisplayName,CodeSystem
235238007,Application of haemoclips onto gastric lesion,SNOMED
713147009,Application of haemostatic agent,SNOMED
715311000,Application of hexachlorophene powder to umbilical cord stump,SNOMED
13851003,"Application of hip spica cast, both legs",SNOMED
1230041002,Application of incontinence sheath,SNOMED
12891006,Application of knee immobiliser,SNOMED
433340000,Application of long arm splint,SNOMED
225074002,Application of lubricant to lips,SNOMED
180319002,Application of mallet splint,SNOMED
180304003,Application of palmar slab,SNOMED
79474000,"Application of plaster figure of eight, shoulder to hand",SNOMED
447686008,Application of pressure to wound,SNOMED
439303004,Application of rigid total contact leg cast,SNOMED
440601004,Application of Risser jacket,SNOMED
370775006,Application of safety device,SNOMED
438409006,Application of short arm cast,SNOMED
179209007,Application of Steinmann pin traction,SNOMED
431703000,Application of support tights,SNOMED
239645007,Application of suspended pelvic slings,SNOMED
308445006,Application of Thomas splint using skin traction,SNOMED
239681005,Application of tibial cast brace,SNOMED
773126007,Application of topical antifungal agent to skin,SNOMED
239682003,Application of upper limb cast brace with elbow hinges,SNOMED
427996005,Application of vacuum splint,SNOMED
180317000,Application of Zimmer splint,SNOMED
225689007,Applying dark glasses,SNOMED
225242003,Applying expressed breast milk to nipples,SNOMED
225700001,Applying medicine to eyes,SNOMED
225187005,Applying stoma adhesive,SNOMED
252223008,Apt test of gastrointestinal function,SNOMED
408277005,APTT inhibitor screening test,SNOMED
105028009,"Aquacobalamin measurement, serum",SNOMED
